archivo_origen,pdf_final,modelo,superficie_total_m2,superficie_calefaccionada_m2,superficie_no_calefaccionada_m2,dormitorios,banos,ancho_m,fondo_m,observacion
design-export (1).zip,modelo-bosque-nativo-150m2.pdf,BOSQUE NATIVO,149.8,142.0,78.5,2,2,12.9,11.63,La suma de superficies calefaccionada y no calefaccionada supera el total indicado.
design-export (10).zip,modelo-casa-blanca-153m2.pdf,CASA BLANCA,153.0,152.4,,2,2,14.43,14.43,
design-export (2).zip,modelo-valle-claro-164m2.pdf,VALLE CLARO,164.0,117.5,78.5,2,2,15.6,18.85,La suma de superficies calefaccionada y no calefaccionada supera el total indicado.
design-export (3).zip,modelo-pradera-azul-165m2.pdf,PRADERA AZUL,165.3,163.9,,2,2,9.65,17.73,
design-export (4).zip,modelo-roble-oscuro-206m2.pdf,ROBLE OSCURO,205.8,127.6,60.5,3,2,13.82,15.09,
design-export (5).zip,modelo-jardin-del-sur-133m2.pdf,JARDIN DEL SUR,132.6,131.2,,2,2,13.36,13.36,
design-export (6).zip,modelo-alerce-sur-163m2.pdf,ALERCE SUR,163.1,117.5,78.5,2,2,15.54,18.64,La suma de superficies calefaccionada y no calefaccionada supera el total indicado.
design-export (7).zip,modelo-patio-moderno-120m2.pdf,PATIO MODERNO,119.7,158.2,,2,2,11.43,18.14,La superficie calefaccionada supera la superficie total indicada en el origen.
design-export (8).zip,modelo-tejas-del-valle-142m2.pdf,TEJAS DEL VALLE,142.1,135.2,,2,2,13.82,14.83,
design-export.zip,modelo-lago-blanco-151m2.pdf,LAGO BLANCO,151.0,154.1,,2,2,19.1,11.07,La superficie calefaccionada supera la superficie total indicada en el origen.
